iter	Passed	Remaining
182	749142	11531879
183	753175	11526853
184	757149	11520953
185	761263	11517177
186	765290	11512100
187	769241	11505886
188	773153	11499130
189	777116	11493150
190	781133	11487973
191	785162	11483008
192	789298	11479590
193	793343	11474856
194	797357	11469677
195	801459	11465783
196	805460	11460442
197	809505	11455729
198	813530	11450741
199	817530	11445431
200	821663	11441973
201	825634	11436270
202	829662	11431363
203	833729	11427000
204	837855	11423445
205	842065	11421017
206	846098	11416198
207	850199	11412289
208	854262	11407880
209	858367	11404023
210	862439	11399733
211	866452	11394665
212	870432	11389175
213	874600	11386160
214	878760	11383014
215	882686	11376845
216	886631	11370946
217	890655	11366073
218	894736	11361927
219	898792	11357469
220	902825	11352728
221	906740	11346507
222	910834	11342545
223	914986	11339299
224	918916	11333298
225	923042	11329735
226	927181	11326323
227	931078	11319952
228	935111	11315255
229	939202	11311260
230	943204	11306199
231	947212	11301226
232	951260	11296727
233	955285	11291968
234	959280	11286851
235	963442	11283706
236	967411	11278298
237	971504	11274345
238	975645	11270949
239	979666	11266167
240	983664	11261126
241	987836	11258071
242	991796	11252609
243	995777	11247389
244	999776	11242383
245	1003878	11238542
246	1007960	11234469
247	1012029	11230265
248	1016132	11226426
249	1020220	11222423
250	1024164	11216842
251	1028162	11211866
252	1032169	11206992
253	1036292	11203386
254	1040307	11198600
255	1044156	11192054
256	1048186	11187449
257	1052311	11183872
258	1056340	11179268
259	1060431	11175311
260	1064460	11170714
261	1068620	11167490
262	1072693	11163350
263	1076659	11158110
264	1080610	11152713
265	1084641	11148160
266	1088682	11143700
267	1092715	11139171
268	1096723	11134389
269	1100818	11130494
270	1104826	11125727
271	1108952	11122136
272	1112987	11117646
273	1117017	11113105
274	1120962	11107717
275	1124934	11102614
276	1129022	11098654
277	1132987	11093497
278	1136931	11088139
279	1141049	11084479
280	1145074	11079918
281	1149012	11074526
282	1152939	11069032
283	1156494	11059999
284	1159950	11050057
285	1163483	11040888
286	1166970	11031330
287	1170502	11022233
288	1174020	11013040
289	1177613	11004598
290	1181010	10994358
291	1184515	10985161
292	1188009	10975907
293	1191461	10966309
294	1195032	10957842
295	1198532	10948760
296	1202035	10939736
297	1205610	10931406
298	1209148	10922776
299	1212679	10914117
300	1216211	10905494
301	1219737	10896857
302	1223148	10887236
303	1226729	10879155
304	1230173	10869893
305	1233685	10861268
306	1237170	10852444
307	1240761	10844574
308	1244283	10836135
309	1248156	10830774
310	1251922	10824496
311	1255425	10815974
312	1258939	10807575
313	1262635	10800765
314	1266538	10795732
315	1270121	10787994
316	1273712	10780349
317	1277197	10771838
318	1280671	10763262
319	1284256	10755648
320	1287713	10746992
321	1291198	10738602
322	1294789	10731121
323	1298272	10722766
324	1301781	10714659
325	1305314	10706784
326	1308792	10698477
327	1312317	10690586
328	1315826	10682589
329	1319311	10674432
330	1322763	10666027
331	1326252	10657959
332	1329719	10649739
333	1333139	10641165
334	1336738	10634052
335	1340220	10626031
336	1343737	10618319
337	1347254	10610624
338	1350741	10602726
339	1354177	10594446
340	1357573	10585890
341	1361073	10578168
342	1364630	10570909
